LAD13CD,LAD13CDO,LAD13NM,FLUOCC,C_LAT,C_LON,TOTALOCC,RATE
E06000001,00EB,Hartlepool,4,54.66907783248424,-1.2555945783073263,474,"0,8438818565"
E06000002,00EC,Middlesbrough,6,54.54249662909459,-1.2224229412258902,635,"0,944881889763779"
E06000003,00EE,Redcar and Cleveland,1,54.55360622876774,-1.0215968822098835,92,"1,08695652173913"
E06000004,00EF,Stockton-on-Tees,0,54.562788285265185,-1.328922502118829,97,0
E06000005,00EH,Darlington,53,54.54871784714588,-1.5526170625148816,493,"10,7505070993915"
E06000006,00ET,Halton,7,53.343737423785555,-2.7188265427416556,502,"1,39442231075697"
E06000007,00EU,Warrington,9,53.39881098540071,-2.563627675785714,1299,"0,69284064665127"
E06000008,00EX,Blackburn with Darwen,27,53.69264024924484,-2.4675960223756506,676,"3,99408284023669"
E06000009,00EY,Blackpool,13,53.81767847799673,-3.0355540896891138,1510,"0,860927152317881"
E06000010,00FA,"Kingston upon Hull, City of",0,53.75990091321988,-0.3353122846465146,1,0
E06000011,00FB,East Riding of Yorkshire,9,53.86794063956978,-0.48258576384462315,764,"1,17801047120419"
E06000012,00FC,North East Lincolnshire,98,53.54402220411897,-0.13282959220588628,651,"15,0537634408602"
E06000013,00FD,North Lincolnshire,6,53.59390858705892,-0.5924873756448673,637,"0,941915227629513"
E06000014,00FF,York,23,53.95874406385558,-1.0614417793813247,2108,"1,09108159392789"
E06000015,00FK,Derby,35,52.91252863391713,-1.4683446138162826,1839,"1,90320826536161"
E06000016,00FN,Leicester,22,52.63789243269908,-1.1284776485874835,2970,"0,740740740740741"
E06000017,00FP,Rutland,2,52.66072350082689,-0.6546330464571739,241,"0,829875518672199"
E06000018,00FY,Nottingham,32,52.96057837577447,-1.1765149292269335,4204,"0,761179828734539"
E06000019,00GA,"Herefordshire, County of",0,52.103647301523054,-2.7451472669712924,0,0
E06000020,00GF,Telford and Wrekin,9,52.73019873630263,-2.488806844077484,805,"1,11801242236025"
E06000021,00GL,Stoke-on-Trent,49,53.018027042581814,-2.1645632696837867,185,"26,4864864864865"
E06000022,00HA,Bath and North East Somerset,18,51.35591921041648,-2.4752282710331093,1807,"0,996126175982291"
E06000023,00HB,"Bristol, City of",0,51.45260448662056,-2.770617330864899,3,0
E06000024,00HC,North Somerset,31,51.389143887995836,-2.800904771940647,246,"12,6016260162602"
E06000025,00HD,South Gloucestershire,102,51.54682008537281,-2.470638453958533,5630,"1,81172291296625"
E06000026,00HG,Plymouth,13,50.39171317786327,-4.1200047024848745,1867,"0,696304231387252"
E06000027,00HH,Torbay,36,50.44056118888096,-3.530251924961115,545,"6,60550458715596"
E06000028,00HN,Bournemouth,10,50.74177196677018,-1.8579023717790815,1703,"0,587199060481503"
E06000029,00HP,Poole,10,50.74027622962839,-1.9651498773326868,460,"2,17391304347826"
E06000030,00HX,Swindon,17,51.57150792040659,-1.7438272057355628,1037,"1,63934426229508"
E06000031,00JA,Peterborough,61,52.60849280733797,-0.25306702026655803,1281,"4,76190476190476"
E06000032,00KA,Luton,11,51.89418079735336,-0.42558421285085957,926,"1,18790496760259"
E06000033,00KF,Southend-on-Sea,0,51.537985966865556,0.728739267871777,217,0
E06000034,00KG,Thurrock,1,51.50592331591072,0.37315052351855554,157,"0,636942675159236"
E06000035,00LC,Medway,1,51.42569283211873,0.5695618902266575,398,"0,251256281407035"
E06000036,00MA,Bracknell Forest,1,51.40807522289603,-0.7397029005844478,282,"0,354609929078014"
E06000037,00MB,West Berkshire,1,51.449536022028894,-1.304511703935989,403,"0,248138957816377"
E06000038,00MC,Reading,8,51.45293036962382,-0.9838241367102338,1819,"0,439802089059923"
E06000039,00MD,Slough,27,51.5083433584201,-0.5862473957968009,337,"8,01186943620178"
E06000040,00ME,Windsor and Maidenhead,1,51.48563075541568,-0.6995510046091936,192,"0,520833333333333"
E06000041,00MF,Wokingham,1,51.42939530679121,-0.8838144864979526,225,"0,444444444444444"
E06000042,00MG,Milton Keynes,1,52.08381276654589,-0.7335061723839543,211,"0,4739336492891"
E06000043,00ML,Brighton and Hove,24,50.84341020208259,-0.13311131403884946,4148,"0,578592092574735"
E06000044,00MR,Portsmouth,11,50.820420954549604 ,-1.0784478804672832,1557,"0,706486833654464"
E06000045,00MS,Southampton,16,50.91693422836057 ,-1.3987318074347999,2846,"0,5621925509487"
