LAD13CD,LAD13CDO,LAD13NM,FLUOCC,C_LAT,C_LON,TOTALOCC,RATE
E06000001,00EB,Hartlepool,0,54.66907783248424,-1.2555945783073263,0,NA
E06000002,00EC,Middlesbrough,0,54.54249662909459,-1.2224229412258902,0,NA
E06000003,00EE,Redcar and Cleveland,0,54.55360622876774,-1.0215968822098835,0,NA
E06000004,00EF,Stockton-on-Tees,0,54.562788285265185,-1.328922502118829,0,NA
E06000005,00EH,Darlington,0,54.54871784714588,-1.5526170625148816,0,NA
E06000006,00ET,Halton,0,53.343737423785555,-2.7188265427416556,0,NA
E06000007,00EU,Warrington,0,53.39881098540071,-2.563627675785714,0,NA
E06000008,00EX,Blackburn with Darwen,0,53.69264024924484,-2.4675960223756506,0,NA
E06000009,00EY,Blackpool,0,53.81767847799673,-3.0355540896891138,0,NA
E06000010,00FA,"Kingston upon Hull, City of",0,53.75990091321988,-0.3353122846465146,0,NA
E06000011,00FB,East Riding of Yorkshire,0,53.86794063956978,-0.48258576384462315,0,NA
E06000012,00FC,North East Lincolnshire,0,53.54402220411897,-0.13282959220588628,0,NA
E06000013,00FD,North Lincolnshire,0,53.59390858705892,-0.5924873756448673,0,NA
E06000014,00FF,York,0,53.95874406385558,-1.0614417793813247,0,NA
E06000015,00FK,Derby,0,52.91252863391713,-1.4683446138162826,0,NA
E06000016,00FN,Leicester,0,52.63789243269908,-1.1284776485874835,0,NA
E06000017,00FP,Rutland,0,52.66072350082689,-0.6546330464571739,0,NA
E06000018,00FY,Nottingham,0,52.96057837577447,-1.1765149292269335,0,NA
E06000019,00GA,"Herefordshire, County of",0,52.103647301523054,-2.7451472669712924,0,NA
E06000020,00GF,Telford and Wrekin,0,52.73019873630263,-2.488806844077484,0,NA
E06000021,00GL,Stoke-on-Trent,0,53.018027042581814,-2.1645632696837867,0,NA
E06000022,00HA,Bath and North East Somerset,0,51.35591921041648,-2.4752282710331093,0,NA
E06000023,00HB,"Bristol, City of",0,51.45260448662056,-2.770617330864899,0,NA
E06000024,00HC,North Somerset,0,51.389143887995836,-2.800904771940647,0,NA
E06000025,00HD,South Gloucestershire,0,51.54682008537281,-2.470638453958533,0,NA
E06000026,00HG,Plymouth,0,50.39171317786327,-4.1200047024848745,0,NA
E06000027,00HH,Torbay,0,50.44056118888096,-3.530251924961115,0,NA
E06000028,00HN,Bournemouth,0,50.74177196677018,-1.8579023717790815,0,NA
E06000029,00HP,Poole,0,50.74027622962839,-1.9651498773326868,0,NA
E06000030,00HX,Swindon,0,51.57150792040659,-1.7438272057355628,0,NA
E06000031,00JA,Peterborough,0,52.60849280733797,-0.25306702026655803,0,NA
E06000032,00KA,Luton,0,51.89418079735336,-0.42558421285085957,0,NA
E06000033,00KF,Southend-on-Sea,0,51.537985966865556,0.728739267871777,0,NA
E06000034,00KG,Thurrock,0,51.50592331591072,0.37315052351855554,0,NA
E06000035,00LC,Medway,0,51.42569283211873,0.5695618902266575,0,NA
E06000036,00MA,Bracknell Forest,0,51.40807522289603,-0.7397029005844478,0,NA
E06000037,00MB,West Berkshire,0,51.449536022028894,-1.304511703935989,0,NA
E06000038,00MC,Reading,0,51.45293036962382,-0.9838241367102338,0,NA
E06000039,00MD,Slough,0,51.5083433584201,-0.5862473957968009,0,NA
E06000040,00ME,Windsor and Maidenhead,0,51.48563075541568,-0.6995510046091936,0,NA
E06000041,00MF,Wokingham,0,51.42939530679121,-0.8838144864979526,0,NA
E06000042,00MG,Milton Keynes,0,52.08381276654589,-0.7335061723839543,0,NA
E06000043,00ML,Brighton and Hove,0,50.84341020208259,-0.13311131403884946,0,NA
E06000044,00MR,Portsmouth,0,50.820420954549604 ,-1.0784478804672832,0,NA
E06000045,00MS,Southampton,0,50.91693422836057 ,-1.3987318074347999,0,NA
E06000046,00MW,Isle of Wight,0,50.67589578896197 ,-1.2962152253167063,0,NA
E06000047,00EJ,County Durham,0,54.69545286886702,-1.839521410876305,0,NA
E06000049,00EQ,Cheshire East,0,53.18040123109164,-2.3493682209320883,0,NA
E06000050,00EW,Cheshire West and Chester,0,53.20018421935642,-2.735827443089389,0,NA
E06000051,00GG,Shropshire,0,52.635382929127516,-2.7341681782446208,0,NA
E06000052,00HE,Cornwall,0,50.40587171879491,-4.824973701917558,0,NA
E06000053,00HF,Isles of Scilly,0,49.936794446651106,-6.317324040655305,0,NA
E06000054,00HY,Wiltshire,0,51.297583395793595,-1.94470537091065,0,NA
E06000055,00KB,Bedford,0,52.18918673758161,-0.47708044894250407,0,NA
E06000056,00KC,Central Bedfordshire,0,52.006654158743004,-0.43598832203279814,0,NA
E06000057,00EM,Northumberland,0,55.24255638953757,-2.0653509110167976,0,NA
E07000004,11UB,Aylesbury Vale,0,51.892219224144704,-0.8854390207437771,0,NA
E07000005,11UC,Chiltern,0,51.68047762606698,-0.6277748519996483,0,NA
E07000006,11UE,South Bucks,0,51.55633370216273,-0.5900409927884362,0,NA
E07000007,11UF,Wycombe,0,51.649203631278525,-0.8152465718353052,0,NA
E07000008,12UB,Cambridge,0,52.199333256091606,0.1329492045266066,0,NA
E07000009,12UC,East Cambridgeshire,0,52.3430157812221,0.2946339646433247,0,NA
E07000010,12UD,Fenland,0,52.562899520940434,0.060841122746925894,0,NA
E07000011,12UE,Huntingdonshire,0,52.37369595998625,-0.220746391680654,0,NA
E07000012,12UG,South Cambridgeshire,0,52.17279617910222,0.08126268008375373,0,NA
E07000026,16UB,Allerdale,0,54.711466027433055,-3.247455740705238,0,NA
E07000027,16UC,Barrow-in-Furness,0,54.12661516490039,-3.212343305902556,0,NA
E07000028,16UD,Carlisle,0,54.97102588413543,-2.808577618010778,0,NA
E07000029,16UE,Copeland,0,54.41407876286318,-3.373471464439956,0,NA
E07000030,16UF,Eden,0,54.612945080909945,-2.622137969104719,0,NA
E07000031,16UG,South Lakeland,0,54.292752148974216,-2.849957963131177,0,NA
E07000032,17UB,Amber Valley,0,53.02924076494262,-1.4666173715338393,0,NA
E07000033,17UC,Bolsover,0,53.21568582889749,-1.2772293399984505,0,NA
E07000034,17UD,Chesterfield,0,53.25626590470525,-1.4012106436545173,0,NA
E07000035,17UF,Derbyshire Dales,0,53.128448364529355,-1.6936379658655674,0,NA
E07000036,17UG,Erewash,0,52.935480079960094,-1.34673005775777,0,NA
E07000037,17UH,High Peak,0,53.373058058815,-1.87390245144882,0,NA
E07000038,17UJ,North East Derbyshire,0,53.22588443875539,-1.4483053525720069,0,NA
E07000039,17UK,South Derbyshire,0,52.831017463610145,-1.5595357487153418,0,NA
E07000040,18UB,East Devon,0,50.76415218642701,-3.2244369232618593,0,NA
E07000041,18UC,Exeter,0,50.7215756634327,-3.5102322746572634,0,NA
E07000042,18UD,Mid Devon,0,50.87616879433075,-3.556223342517098,0,NA
E07000043,18UE,North Devon,0,51.06980841380437,-3.9149095969269205,0,NA
E07000044,18UG,South Hams,0,50.37396496424281,-3.823060268914164,0,NA
E07000045,18UH,Teignbridge,0,50.606311965737,-3.65648831168084,0,NA
E07000046,18UK,Torridge,0,50.88744072513195,-4.250773568181947,0,NA
E07000047,18UL,West Devon,0,50.65619432849985,-4.046158127521429,0,NA
E07000048,19UC,Christchurch,0,50.76148146890825,-1.7883257868900169,0,NA
E07000049,19UD,East Dorset,0,50.86366526049482,-1.9615423921476842,0,NA
E07000050,19UE,North Dorset,0,50.91248671310313,-2.246385603810662,0,NA
E07000051,19UG,Purbeck,0,50.68159019144584,-2.1312589516697127,0,NA
E07000052,19UH,West Dorset,0,50.7844627023445,-2.5784797624249443,0,NA
E07000053,19UJ,Weymouth and Portland,0,50.6094812171559,-2.4553798628828343,0,NA
E07000061,21UC,Eastbourne,0,50.77603526310248,0.2662361847346582,0,NA
E07000062,21UD,Hastings,0,50.8692691892806,0.5703992922994398,0,NA
E07000063,21UF,Lewes,0,50.88209850082865,0.004989088140662217,0,NA
E07000064,21UG,Rother,0,50.951512204479144,0.539299322309435,0,NA
E07000065,21UH,Wealden,0,50.967447729782066,0.19854675866972615,0,NA
E07000066,22UB,Basildon,0,51.5900857051688,0.46630362019199967,0,NA
E07000067,22UC,Braintree,0,51.941895317154156,0.5899225792588424,0,NA
E07000068,22UD,Brentwood,0,51.63859909237973,0.3107799312577096,0,NA
E07000069,22UE,Castle Point,0,51.536364483714515,0.5947161814383987,0,NA
E07000070,22UF,Chelmsford,0,51.72542919041293,0.4808855013996978,0,NA
E07000071,22UG,Colchester,0,51.87253122837605,0.8609051434595005,0,NA
E07000072,22UH,Epping Forest,0,51.708836053456956,0.14876160808671077,0,NA
E07000073,22UJ,Harlow,0,51.76830067305255,0.10857071726723459,0,NA
E07000074,22UK,Maldon,0,51.70966942551047,0.7831767507881877,0,NA
E07000075,22UL,Rochford,0,51.59131771045217,0.809534061277242,0,NA
E07000076,22UN,Tendring,0,51.8713886041578,1.1150940490483126,0,NA
E07000077,22UQ,Uttlesford,0,51.934655711542504,0.27974641530562644,0,NA
E07000078,23UB,Cheltenham,0,51.89696065080143,-2.074044816155511,0,NA
E07000079,23UC,Cotswold,0,51.81663772500411,-1.8924275031865443,0,NA
E07000080,23UD,Forest of Dean,0,51.82841277527464,-2.4898120942111577,0,NA
E07000081,23UE,Gloucester,0,51.84933388155073,-2.2402760292108677,0,NA
E07000082,23UF,Stroud,0,51.72924834054955,-2.300072656120393,0,NA
E07000083,23UG,Tewkesbury,0,51.94556792843988,-2.0873343467098633,0,NA
E07000084,24UB,Basingstoke and Deane,0,51.27340466252832,-1.2009886356797614,0,NA
E07000085,24UC,East Hampshire,0,51.074599474626964,-0.9550683716968535,0,NA
E07000086,24UD,Eastleigh,0,50.93299184050038,-1.3272294487240544,0,NA
E07000087,24UE,Fareham,0,50.85259951721703,-1.2246708323378739,0,NA
E07000088,24UF,Gosport,0,50.80519459524044,-1.1593794592450974,0,NA
E07000089,24UG,Hart,0,51.28478324225611,-0.8974566942916297,0,NA
E07000090,24UH,Havant,0,50.83824224898536,-0.9894191231645897,0,NA
E07000091,24UJ,New Forest,0,50.858338467576424,-1.6249136620767521,0,NA
E07000092,24UL,Rushmoor,0,51.273395156906496,-0.7674765608487341,0,NA
E07000093,24UN,Test Valley,0,51.128563346804164,-1.510649909998276,0,NA
E07000094,24UP,Winchester,0,51.02821131686522,-1.2212318785825929,0,NA
E07000095,26UB,Broxbourne,0,51.72506853610904,-0.047337394561975436,0,NA
E07000096,26UC,Dacorum,0,51.77814122369392,-0.5409030999804436,0,NA
E07000098,26UE,Hertsmere,0,51.677233021464296,-0.2810786111163503,0,NA
E07000099,26UF,North Hertfordshire,0,51.95905978777408,-0.19249744496742494,0,NA
E07000102,26UJ,Three Rivers,0,51.66093303924954,-0.46057582377379036,0,NA
E07000103,26UK,Watford,0,51.66806142929197,-0.4033622717976791,0,NA
E07000105,29UB,Ashford,0,51.12526469473167,0.8114541623559313,0,NA
E07000106,29UC,Canterbury,0,51.28382337557635,1.101666005189286,0,NA
E07000107,29UD,Dartford,0,51.43139633562336,0.25318678652523613,0,NA
E07000108,29UE,Dover,0,51.21228892376349,1.2893092400407977,0,NA
E07000109,29UG,Gravesham,0,51.40508482105971,0.3950403212741568,0,NA
E07000110,29UH,Maidstone,0,51.23494885017828,0.5806170702310988,0,NA
E07000111,29UK,Sevenoaks,0,51.27544653257266,0.17211869618242973,0,NA
E07000112,29UL,Shepway,0,51.05374202696008,0.9941944418526365,0,NA
E07000113,29UM,Swale,0,51.34163611907232,0.8132043029904239,0,NA
E07000114,29UN,Thanet,0,51.3544299361921,1.3407220974576832,0,NA
E07000115,29UP,Tonbridge and Malling,0,51.273576868753075,0.3579474558092878,0,NA
E07000116,29UQ,Tunbridge Wells,0,51.11431789635391,0.430706593894368,0,NA
E07000117,30UD,Burnley,0,53.778931763718056,-2.2219551189955884,0,NA
E07000118,30UE,Chorley,0,53.66147860322284,-2.647877026835241,0,NA
E07000119,30UF,Fylde,0,53.78394276094411,-2.92288243643623,0,NA
E07000120,30UG,Hyndburn,0,53.75865065456577,-2.3898029288962728,0,NA
E07000121,30UH,Lancaster,0,54.06902999423789,-2.7147470894319716,0,NA
E07000122,30UJ,Pendle,0,53.86550314489748,-2.1849322573481067,0,NA
E07000123,30UK,Preston,0,53.811812960301665,-2.6976459937819866,0,NA
E07000124,30UL,Ribble Valley,0,53.90728543343416,-2.44470448248998,0,NA
E07000125,30UM,Rossendale,0,53.69381362636665,-2.267315545209135,0,NA
E07000126,30UN,South Ribble,0,53.72812182375336,-2.71023424493773,0,NA
E07000127,30UP,West Lancashire,0,53.60963177126401,-2.8826159457806533,0,NA
E07000128,30UQ,Wyre,0,53.90295643971159,-2.853995767279022,0,NA
E07000129,31UB,Blaby,0,52.571489267905896,-1.2219424624516144,0,NA
E07000130,31UC,Charnwood,0,52.736988834306686,-1.1461659094967112,0,NA
E07000131,31UD,Harborough,0,52.539299898061365,-1.007881356867951,0,NA
E07000132,31UE,Hinckley and Bosworth,0,52.61646746509378,-1.391027486894377,0,NA
E07000133,31UG,Melton,0,52.796430099587354,-0.8561351863201906,0,NA
E07000134,31UH,North West Leicestershire,0,52.753126049274414,-1.405007634973666,0,NA
E07000135,31UJ,Oadby and Wigston,0,52.5871092538787,-1.0933946398002528,0,NA
E07000136,32UB,Boston,0,52.97413072701893,-0.022235364481463037,0,NA
E07000137,32UC,East Lindsey,0,53.249625094946516,0.030274656939328393,0,NA
E07000138,32UD,Lincoln,0,53.22471159412275,-0.5549205358013894,0,NA
E07000139,32UE,North Kesteven,0,53.081159824795186,-0.4461355823752978,0,NA
E07000140,32UF,South Holland,0,52.79754526425464,-0.03215929098815302,0,NA
E07000141,32UG,South Kesteven,0,52.85442251589921,-0.5182384244658645,0,NA
E07000142,32UH,West Lindsey,0,53.39281102630558,-0.4769437744050478,0,NA
E07000143,33UB,Breckland,0,52.58809814259513,0.8373285940030913,0,NA
E07000144,33UC,Broadland,0,52.70116047325135,1.3102566281624821,0,NA
E07000145,33UD,Great Yarmouth,0,52.64065518500931,1.6613556144881652,0,NA
E07000146,33UE,King's Lynn and West Norfolk,0,52.72709367546739,0.471075369306163,0,NA
E07000147,33UF,North Norfolk,0,52.85033556751977,1.16953220967784,0,NA
E07000148,33UG,Norwich,0,52.63179655972743,1.2828454546977588,0,NA
E07000149,33UH,South Norfolk,0,52.51453849508987,1.2760192090391786,0,NA
E07000150,34UB,Corby,0,52.499041063915335,-0.6959006504509383,0,NA
E07000151,34UC,Daventry,0,52.316016564327576,-1.048037418619173,0,NA
E07000152,34UD,East Northamptonshire,0,52.457664775232594,-0.52341165484076,0,NA
E07000153,34UE,Kettering,0,52.42612732524138,-0.7654848461025134,0,NA
E07000154,34UF,Northampton,0,52.241216607348306,-0.886891405534405,0,NA
E07000155,34UG,South Northamptonshire,0,52.122592123654265,-1.0426483013135457,0,NA
E07000156,34UH,Wellingborough,0,52.28777518188118,-0.7123359542228564,0,NA
E07000163,36UB,Craven,0,54.07989366866851,-2.1745966301734803,0,NA
E07000164,36UC,Hambleton,0,54.28707738799743,-1.3192269974644428,0,NA
E07000165,36UD,Harrogate,0,54.06715576886682,-1.5958131937955111,0,NA
E07000166,36UE,Richmondshire,0,54.36152451583006,-1.9340518414136652,0,NA
E07000167,36UF,Ryedale,0,54.210596451390366,-0.8522625079805445,0,NA
E07000168,36UG,Scarborough,0,54.36651752465954,-0.6354470778709318,0,NA
E07000169,36UH,Selby,0,53.787118586909045,-1.1346988260408437,0,NA
E07000170,37UB,Ashfield,0,53.09226912649409,-1.259164646911011,0,NA
E07000171,37UC,Bassetlaw,0,53.33280738084643,-0.9588655170709625,0,NA
E07000172,37UD,Broxtowe,0,52.97644154565124,-1.2621237699686907,0,NA
E07000173,37UE,Gedling,0,53.02837598704626,-1.1193597989264303,0,NA
E07000174,37UF,Mansfield,0,53.17071449972463,-1.172760224865671,0,NA
E07000175,37UG,Newark and Sherwood,0,53.12397405768439,-0.9197363655262909,0,NA
E07000176,37UJ,Rushcliffe,0,52.90083439706981,-1.0375263828850196,0,NA
E07000177,38UB,Cherwell,0,51.95886825567989,-1.2758677666929006,0,NA
E07000178,38UC,Oxford,0,51.75454504081736,-1.2409794203993676,0,NA
E07000179,38UD,South Oxfordshire,0,51.63381251487764,-1.0714941987077247,0,NA
E07000180,38UE,Vale of White Horse,0,51.634185452584155,-1.4416119185850418,0,NA
E07000181,38UF,West Oxfordshire,0,51.83761826460301,-1.506867386385122,0,NA
E07000187,40UB,Mendip,0,51.20283658910439,-2.5445701762409083,0,NA
E07000188,40UC,Sedgemoor,0,51.18471895526066,-2.9525905178167573,0,NA
E07000189,40UD,South Somerset,0,50.988051292466594,-2.709567708764955,0,NA
E07000190,40UE,Taunton Deane,0,51.010455911091945,-3.1572697276580537,0,NA
E07000191,40UF,West Somerset,0,51.13369726496965,-3.4904714410631272,0,NA
E07000192,41UB,Cannock Chase,0,52.712377281129974,-1.9802267319652176,0,NA
E07000193,41UC,East Staffordshire,0,52.86332449957506,-1.8122867745141436,0,NA
E07000194,41UD,Lichfield,0,52.68817276784541,-1.8049732120917732,0,NA
E07000195,41UE,Newcastle-under-Lyme,0,52.99315950617131,-2.318776625641044,0,NA
E07000196,41UF,South Staffordshire,0,52.625545031444915,-2.1766764342661253,0,NA
E07000197,41UG,Stafford,0,52.848153676272794,-2.1765062052487343,0,NA
E07000198,41UH,Staffordshire Moorlands,0,53.07936721287981,-1.9812622790131647,0,NA
E07000199,41UK,Tamworth,0,52.62640517237155,-1.6778523329934416,0,NA
E07000200,42UB,Babergh,0,52.050500471699884,0.9153333073429912,0,NA
E07000201,42UC,Forest Heath,0,52.354780785770366,0.5316155852843365,0,NA
E07000202,42UD,Ipswich,0,52.055835456583296,1.159819068193517,0,NA
E07000203,42UE,Mid Suffolk,0,52.246830480867104,1.0926190410996255,0,NA
E07000204,42UF,St Edmundsbury,0,52.23344937782408,0.674471301706253,0,NA
E07000205,42UG,Suffolk Coastal,0,52.16284266669614,1.41204908019012,0,NA
E07000206,42UH,Waveney,0,52.419334901147934,1.5846498720606887,0,NA
E07000207,43UB,Elmbridge,0,51.35708446938806,-0.3921499602647351,0,NA
E07000208,43UC,Epsom and Ewell,0,51.33911651275762,-0.26143050604992474,0,NA
E07000209,43UD,Guildford,0,51.24772498009555,-0.5616267981527736,0,NA
E07000210,43UE,Mole Valley,0,51.21225726227628,-0.3251026176844485,0,NA
E07000211,43UF,Reigate and Banstead,0,51.25318329670105,-0.1918526819943616,0,NA
E07000212,43UG,Runnymede,0,51.39374111987767,-0.5413182548859016,0,NA
E07000213,43UH,Spelthorne,0,51.424753294605324,-0.4679901948905848,0,NA
E07000214,43UJ,Surrey Heath,0,51.342872657706074,-0.6705150190746159,0,NA
E07000215,43UK,Tandridge,0,51.22701691323894,-0.04338162331166384,0,NA
E07000216,43UL,Waverley,0,51.149743996081185,-0.6327218906906404,0,NA
E07000217,43UM,Woking,0,51.31382149804919,-0.5607480518892857,0,NA
E07000218,44UB,North Warwickshire,0,52.547504869850464,-1.6280342839273596,0,NA
E07000219,44UC,Nuneaton and Bedworth,0,52.50110645220385,-1.47587364661961,0,NA
E07000220,44UD,Rugby,0,52.384403666564154,-1.328343674752251,0,NA
E07000221,44UE,Stratford-on-Avon,0,52.178774460295614,-1.6229636398087712,0,NA
E07000222,44UF,Warwick,0,52.30997064877424,-1.584688951183669,0,NA
E07000223,45UB,Adur,0,50.84440947383846,-0.29859190924619944,0,NA
E07000224,45UC,Arun,0,50.840886399903205,-0.5679129432522191,0,NA
E07000225,45UD,Chichester,0,50.93758789107297,-0.7419755446915086,0,NA
E07000226,45UE,Crawley,0,51.12541546769542,-0.18201465854197038,0,NA
E07000227,45UF,Horsham,0,50.99377076357239,-0.3662645451056464,0,NA
E07000228,45UG,Mid Sussex,0,51.02085969142035,-0.12692151586334519,0,NA
E07000229,45UH,Worthing,0,50.829140395001886,-0.3958023082982101,0,NA
E07000234,47UB,Bromsgrove,0,52.36172814810461,-2.0160494754936127,0,NA
E07000235,47UC,Malvern Hills,0,52.18292076479958,-2.345041647573652,0,NA
E07000236,47UD,Redditch,0,52.28225923733289,-1.9518493202123133,0,NA
E07000237,47UE,Worcester,0,52.19666103763948,-2.211338784519296,0,NA
E07000238,47UF,Wychavon,0,52.16427362310778,-2.051074900674663,0,NA
E07000239,47UG,Wyre Forest,0,52.379542059973396,-2.2746638276496993,0,NA
E07000240,26UG,St Albans,0,51.77204485720741,-0.3424751719191811,0,NA
E07000241,26UL,Welwyn Hatfield,0,51.76687479850212,-0.1941000410009392,0,NA
E07000242,26UD,East Hertfordshire,0,51.86505371334906,-0.008197154835440815,0,NA
E07000243,26UH,Stevenage,0,51.90429316318348,-0.18932628094571588,0,NA
E08000001,00BL,Bolton,0,53.57862688133243,-2.466987047078448,0,NA
E08000002,00BM,Bury,0,53.58786138840759,-2.3125878750166606,0,NA
E08000003,00BN,Manchester,0,53.45152927853347,-2.232483957492278,0,NA
E08000004,00BP,Oldham,0,53.551876030285044,-2.0506501805122013,0,NA
E08000005,00BQ,Rochdale,0,53.61655699260054,-2.157838305193517,0,NA
E08000006,00BR,Salford,0,53.4895338503966,-2.3701738101454186,0,NA
E08000007,00BS,Stockport,0,53.393949796792285,-2.1281031028215973,0,NA
E08000008,00BT,Tameside,0,53.477468466610325,-2.0628097628058546,0,NA
E08000009,00BU,Trafford,0,53.41899998230484,-2.3553493139043358,0,NA
E08000010,00BW,Wigan,0,53.524147717024334,-2.5895924920921662,0,NA
E08000011,00BX,Knowsley,0,53.42512533735749,-2.8340999052828306,0,NA
E08000012,00BY,Liverpool,0,53.395473088693144,-2.9170730253928783,0,NA
E08000013,00BZ,St. Helens,0,53.45947721908549,-2.723657722020376,0,NA
E08000014,00CA,Sefton,0,53.56530314160833,-3.016229285015407,0,NA
